setting_factor,setting_role,rounding_rule,k_by_environment,total_edge_count,pooled_directed_density_no_self,policy,coverage,ambiguity_rate,conditional_decision_accuracy,unconditional_misleading_rate,conditional_misleading_rate,mean_selective_regret,median_selective_regret,selection_note
0.75,POST_HOC_SENSITIVITY,nearest_multiple_of_5_half_up,"{""0"": 55, ""1"": 115, ""2"": 150, ""3"": 115, ""4"": 150}",585,0.04775510204081632,DIRECT,0.24,0.76,0.4166666666666667,0.14,0.5833333333333334,0.048255184705968124,1.3377474077730378e-05,descriptive_grid_not_optimized_against_decision_ground_truth
0.75,POST_HOC_SENSITIVITY,nearest_multiple_of_5_half_up,"{""0"": 55, ""1"": 115, ""2"": 150, ""3"": 115, ""4"": 150}",585,0.04775510204081632,PATH,0.46,0.54,0.21739130434782608,0.36,0.782608695652174,0.05469692739299215,0.0013604865528805687,descriptive_grid_not_optimized_against_decision_ground_truth
0.9,POST_HOC_SENSITIVITY,nearest_multiple_of_5_half_up,"{""0"": 70, ""1"": 135, ""2"": 180, ""3"": 135, ""4"": 180}",700,0.05714285714285714,DIRECT,0.24,0.76,0.4166666666666667,0.14,0.5833333333333334,0.048255184705968124,1.3377474077730378e-05,descriptive_grid_not_optimized_against_decision_ground_truth
0.9,POST_HOC_SENSITIVITY,nearest_multiple_of_5_half_up,"{""0"": 70, ""1"": 135, ""2"": 180, ""3"": 135, ""4"": 180}",700,0.05714285714285714,PATH,0.4,0.6,0.2,0.32,0.8,0.06278995917305431,0.005675102189384662,descriptive_grid_not_optimized_against_decision_ground_truth
1.0,FROZEN,nearest_multiple_of_5_half_up,"{""0"": 75, ""1"": 150, ""2"": 200, ""3"": 150, ""4"": 200}",775,0.06326530612244897,DIRECT,0.26,0.74,0.46153846153846156,0.14,0.5384615384615384,0.044543247420893654,2.3740509558223266e-10,descriptive_grid_not_optimized_against_decision_ground_truth
1.0,FROZEN,nearest_multiple_of_5_half_up,"{""0"": 75, ""1"": 150, ""2"": 200, ""3"": 150, ""4"": 200}",775,0.06326530612244897,PATH,0.44,0.56,0.22727272727272727,0.34,0.7727272727272727,0.07070392207077919,0.005675102189384662,descriptive_grid_not_optimized_against_decision_ground_truth
1.1,POST_HOC_SENSITIVITY,nearest_multiple_of_5_half_up,"{""0"": 85, ""1"": 165, ""2"": 220, ""3"": 165, ""4"": 220}",855,0.06979591836734694,DIRECT,0.26,0.74,0.46153846153846156,0.14,0.5384615384615384,0.044543247420893654,2.3740509558223266e-10,descriptive_grid_not_optimized_against_decision_ground_truth
1.1,POST_HOC_SENSITIVITY,nearest_multiple_of_5_half_up,"{""0"": 85, ""1"": 165, ""2"": 220, ""3"": 165, ""4"": 220}",855,0.06979591836734694,PATH,0.44,0.56,0.22727272727272727,0.34,0.7727272727272727,0.07070392207077919,0.005675102189384662,descriptive_grid_not_optimized_against_decision_ground_truth
1.25,POST_HOC_SENSITIVITY,nearest_multiple_of_5_half_up,"{""0"": 95, ""1"": 190, ""2"": 250, ""3"": 190, ""4"": 250}",975,0.07959183673469387,DIRECT,0.3,0.7,0.5333333333333333,0.14,0.4666666666666667,0.0386041477647745,0.0,descriptive_grid_not_optimized_against_decision_ground_truth
1.25,POST_HOC_SENSITIVITY,nearest_multiple_of_5_half_up,"{""0"": 95, ""1"": 190, ""2"": 250, ""3"": 190, ""4"": 250}",975,0.07959183673469387,PATH,0.44,0.56,0.22727272727272727,0.34,0.7727272727272727,0.07070392207077919,0.005675102189384662,descriptive_grid_not_optimized_against_decision_ground_truth
