structural_source,policy,metric,estimate,bootstrap_ci_low,bootstrap_ci_high,valid_bootstrap_replicates,bootstrap_replicates,bootstrap_seed,resampling
GT,DIRECT,coverage,0.46,0.32,0.6,10000,10000,20260910,query_indices_within_environment_preserving_environment_sizes
GT,DIRECT,ambiguity_rate,0.54,0.4,0.68,10000,10000,20260910,query_indices_within_environment_preserving_environment_sizes
GT,DIRECT,conditional_decision_accuracy,0.5652173913043478,0.36363636363636365,0.7692307692307693,10000,10000,20260910,query_indices_within_environment_preserving_environment_sizes
GT,DIRECT,unconditional_misleading_rate,0.2,0.1,0.32,10000,10000,20260910,query_indices_within_environment_preserving_environment_sizes
GT,DIRECT,conditional_misleading_rate,0.43478260869565216,0.23076923076923078,0.6363636363636364,10000,10000,20260910,query_indices_within_environment_preserving_environment_sizes
GT,DIRECT,mean_selective_regret,0.04144105494918368,0.012663729052944932,0.07669962146293183,10000,10000,20260910,query_indices_within_environment_preserving_environment_sizes
GT,DIRECT,median_selective_regret,0.0,0.0,0.000693620631815467,10000,10000,20260910,query_indices_within_environment_preserving_environment_sizes
GT,PATH,coverage,0.36,0.24,0.5,10000,10000,20260910,query_indices_within_environment_preserving_environment_sizes
GT,PATH,ambiguity_rate,0.64,0.5,0.76,10000,10000,20260910,query_indices_within_environment_preserving_environment_sizes
GT,PATH,conditional_decision_accuracy,0.2777777777777778,0.07692307692307693,0.5,10000,10000,20260910,query_indices_within_environment_preserving_environment_sizes
GT,PATH,unconditional_misleading_rate,0.26,0.14,0.38,10000,10000,20260910,query_indices_within_environment_preserving_environment_sizes
GT,PATH,conditional_misleading_rate,0.7222222222222222,0.5,0.9230769230769231,10000,10000,20260910,query_indices_within_environment_preserving_environment_sizes
GT,PATH,mean_selective_regret,0.09585784664103578,0.05149574649568305,0.14504731273091787,10000,10000,20260910,query_indices_within_environment_preserving_environment_sizes
GT,PATH,median_selective_regret,0.07610075070465722,2.6754710750365174e-05,0.1676599143749079,10000,10000,20260910,query_indices_within_environment_preserving_environment_sizes
METHOD_D,DIRECT,coverage,0.26,0.14,0.38,10000,10000,20260910,query_indices_within_environment_preserving_environment_sizes
METHOD_D,DIRECT,ambiguity_rate,0.74,0.62,0.86,10000,10000,20260910,query_indices_within_environment_preserving_environment_sizes
METHOD_D,DIRECT,conditional_decision_accuracy,0.46153846153846156,0.2,0.75,10000,10000,20260910,query_indices_within_environment_preserving_environment_sizes
METHOD_D,DIRECT,unconditional_misleading_rate,0.14,0.06,0.24,10000,10000,20260910,query_indices_within_environment_preserving_environment_sizes
METHOD_D,DIRECT,conditional_misleading_rate,0.5384615384615384,0.25,0.8,10000,10000,20260910,query_indices_within_environment_preserving_environment_sizes
METHOD_D,DIRECT,mean_selective_regret,0.044543247420893654,0.007926377627750069,0.08750512990813782,10000,10000,20260910,query_indices_within_environment_preserving_environment_sizes
METHOD_D,DIRECT,median_selective_regret,2.3740509558223266e-10,0.0,0.07787916200331524,10000,10000,20260910,query_indices_within_environment_preserving_environment_sizes
METHOD_D,PATH,coverage,0.44,0.3,0.58,10000,10000,20260910,query_indices_within_environment_preserving_environment_sizes
METHOD_D,PATH,ambiguity_rate,0.56,0.42,0.7,10000,10000,20260910,query_indices_within_environment_preserving_environment_sizes
METHOD_D,PATH,conditional_decision_accuracy,0.22727272727272727,0.07407407407407407,0.391304347826087,10000,10000,20260910,query_indices_within_environment_preserving_environment_sizes
METHOD_D,PATH,unconditional_misleading_rate,0.34,0.22,0.46,10000,10000,20260910,query_indices_within_environment_preserving_environment_sizes
METHOD_D,PATH,conditional_misleading_rate,0.7727272727272727,0.6086956521739131,0.9259259259259259,10000,10000,20260910,query_indices_within_environment_preserving_environment_sizes
METHOD_D,PATH,mean_selective_regret,0.07070392207077919,0.03576122262352253,0.10927129168082017,10000,10000,20260910,query_indices_within_environment_preserving_environment_sizes
METHOD_D,PATH,median_selective_regret,0.005675102189384662,4.915346275688459e-05,0.11188602945958831,10000,10000,20260910,query_indices_within_environment_preserving_environment_sizes
