record_type,structural_source,direct_state,path_state,count,queries_state_changed,newly_decided_by_path,became_ambiguous_under_path,correct_to_misleading,misleading_to_correct
transition,GT,SUFFICIENT,SUFFICIENT,3,,,,,
transition,GT,SUFFICIENT,MISLEADING,0,,,,,
transition,GT,SUFFICIENT,AMBIGUOUS,10,,,,,
transition,GT,MISLEADING,SUFFICIENT,0,,,,,
transition,GT,MISLEADING,MISLEADING,8,,,,,
transition,GT,MISLEADING,AMBIGUOUS,2,,,,,
transition,GT,AMBIGUOUS,SUFFICIENT,2,,,,,
transition,GT,AMBIGUOUS,MISLEADING,5,,,,,
transition,GT,AMBIGUOUS,AMBIGUOUS,20,,,,,
summary,GT,ALL,ALL,50,19.0,7.0,12.0,0.0,0.0
transition,METHOD_D,SUFFICIENT,SUFFICIENT,3,,,,,
transition,METHOD_D,SUFFICIENT,MISLEADING,0,,,,,
transition,METHOD_D,SUFFICIENT,AMBIGUOUS,3,,,,,
transition,METHOD_D,MISLEADING,SUFFICIENT,0,,,,,
transition,METHOD_D,MISLEADING,MISLEADING,7,,,,,
transition,METHOD_D,MISLEADING,AMBIGUOUS,0,,,,,
transition,METHOD_D,AMBIGUOUS,SUFFICIENT,2,,,,,
transition,METHOD_D,AMBIGUOUS,MISLEADING,10,,,,,
transition,METHOD_D,AMBIGUOUS,AMBIGUOUS,25,,,,,
summary,METHOD_D,ALL,ALL,50,15.0,12.0,3.0,0.0,0.0
