dataset_id,query_id,intervention,reference,target,effect_time,tau_gt,oracle_decision,gt_struct_I_to_Y,gt_struct_R_to_Y,gt_structure_decision,gt_structure_state,gt_structure_regret,method_d_I_to_Y,method_d_R_to_Y,method_d_decision,method_d_state,method_d_regret,cate_hat_b2a,b2a_decision
0,0,25,35,25,2,-0.00021435298867300556,R,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,-0.0128370458823225,R
0,1,10,40,40,2,-0.12244717200410993,R,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,-0.0530244446059977,R
0,2,15,40,3,2,0.11483773830698918,I,True,False,I,STRUCTURE_SUFFICIENT,0.0,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,0.0314861827229567,I
0,3,20,40,16,2,-0.0017711027606862606,R,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,-0.0216610733676299,R
0,4,5,45,45,2,-0.029272100344071794,R,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,-0.119246513800871,R
0,5,5,35,5,2,0.0743223394059992,I,False,True,R,STRUCTURE_MISLEADING,0.0743223394059992,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,-0.0719072090706284,R
0,6,10,35,10,2,0.22024986913277,I,False,True,R,STRUCTURE_MISLEADING,0.22024986913277,False,True,R,STRUCTURE_MISLEADING,0.22024986913277,0.0535004522772979,I
0,7,25,45,11,2,-0.0003834573959022314,R,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,0.0052631962284218,I
0,8,30,40,13,2,-0.08692527441502923,R,False,True,R,STRUCTURE_SUFFICIENT,0.0,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,-0.0190837367468188,R
0,9,25,45,12,2,-0.08788523663161896,R,True,True,ABSTAIN,STRUCTURE_AMBIGUOUS,,False,True,R,STRUCTURE_SUFFICIENT,0.0,-0.0082148198860337,R
1,0,25,45,6,2,0.002158158590883197,I,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,0.0118809332880601,I
1,1,25,35,25,2,-1.8603900303615362e-07,R,False,True,R,STRUCTURE_SUFFICIENT,0.0,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,-0.0575119803134848,R
1,2,15,30,30,2,-0.10331404830457858,R,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,-0.1467357888514202,R
1,3,20,40,9,2,0.0011446741300483176,I,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,0.0150435611709776,I
1,4,20,40,16,2,0.08991850745118635,I,True,False,I,STRUCTURE_SUFFICIENT,0.0,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,0.0287508780011912,I
1,5,15,45,12,2,-0.014287840965259868,R,True,True,ABSTAIN,STRUCTURE_AMBIGUOUS,,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,-0.0064835911781526,R
1,6,10,35,10,2,0.17738250554933377,I,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,0.0399373976102987,I
1,7,5,15,15,2,-0.11059910493074165,R,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,-0.018318316743446,R
1,8,5,35,5,2,0.17344740800923159,I,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,0.0364748622818227,I
1,9,25,40,19,2,0.0013604865528805687,I,False,True,R,STRUCTURE_MISLEADING,0.0013604865528805687,False,True,R,STRUCTURE_MISLEADING,0.0013604865528805687,-0.0069347977038513,R
2,0,15,25,13,2,7.155221476340401e-05,I,False,True,R,STRUCTURE_MISLEADING,7.155221476340401e-05,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,0.0010286872643975,I
2,1,20,35,20,2,-0.00019168690719495451,R,False,True,R,STRUCTURE_SUFFICIENT,0.0,False,True,R,STRUCTURE_SUFFICIENT,0.0,-0.024374916492438,R
2,2,30,40,13,2,0.006155919768658646,I,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,-0.0403351617772698,R
2,3,10,35,10,2,0.29968710209605604,I,False,True,R,STRUCTURE_MISLEADING,0.29968710209605604,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,0.0057702748593829,I
2,4,20,35,16,2,0.09670558540313223,I,True,False,I,STRUCTURE_SUFFICIENT,0.0,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,0.0177383143245666,I
2,5,25,40,12,2,-0.002825888584485292,R,False,True,R,STRUCTURE_SUFFICIENT,0.0,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,-0.0770551350848018,R
2,6,20,45,45,2,-0.09472268637866632,R,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,0.0005583934326477,I
2,7,10,40,40,2,-0.0580943460830996,R,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,-0.0714618853394308,R
2,8,20,40,20,2,0.1676599143749079,I,False,True,R,STRUCTURE_MISLEADING,0.1676599143749079,False,True,R,STRUCTURE_MISLEADING,0.1676599143749079,0.0607682952531333,I
2,9,35,45,38,2,2.3740509558223266e-10,I,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,False,True,R,STRUCTURE_MISLEADING,2.3740509558223266e-10,0.0001825813955769,I
3,0,5,30,30,2,-0.11372112309111182,R,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,-0.090342957457026,R
3,1,30,35,21,2,0.059425333614133324,I,True,False,I,STRUCTURE_SUFFICIENT,0.0,True,False,I,STRUCTURE_SUFFICIENT,0.0,0.022360807026286,I
3,2,25,30,22,2,-0.006898308131448649,R,True,True,ABSTAIN,STRUCTURE_AMBIGUOUS,,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,-0.0332820538010154,R
3,3,25,30,25,2,0.26298798758129865,I,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,0.1121228477311228,I
3,4,20,40,16,2,-1.0538801936688103e-06,R,True,False,I,STRUCTURE_MISLEADING,1.0538801936688103e-06,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,0.0071862129188263,I
3,5,25,45,23,2,-0.0010453708790412186,R,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,-0.0468791708760062,R
3,6,30,35,19,2,0.00040236059678927516,I,True,False,I,STRUCTURE_SUFFICIENT,0.0,True,False,I,STRUCTURE_SUFFICIENT,0.0,0.064972340002731,I
3,7,25,45,24,2,-1.7539857188886288e-07,R,False,True,R,STRUCTURE_SUFFICIENT,0.0,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,0.0008257216049475,I
3,8,5,35,5,2,0.14985089717474087,I,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,0.1848696602012545,I
3,9,10,25,25,2,-0.29483271106655706,R,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,-0.1123824998761445,R
4,0,5,30,30,2,-0.32392533644581456,R,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,-0.0801227537689186,R
4,1,25,45,19,2,2.6754710750365174e-05,I,False,True,R,STRUCTURE_MISLEADING,2.6754710750365174e-05,False,True,R,STRUCTURE_MISLEADING,2.6754710750365174e-05,0.0080691881823883,I
4,2,5,35,5,2,0.07787916200331524,I,False,True,R,STRUCTURE_MISLEADING,0.07787916200331524,False,True,R,STRUCTURE_MISLEADING,0.07787916200331524,0.1138865656116469,I
4,3,40,45,33,2,-0.09274525787014043,R,False,True,R,STRUCTURE_SUFFICIENT,0.0,False,True,R,STRUCTURE_SUFFICIENT,0.0,-0.0195494117851928,R
4,4,20,40,15,2,0.07158422904736178,I,True,False,I,STRUCTURE_SUFFICIENT,0.0,True,False,I,STRUCTURE_SUFFICIENT,0.0,0.1162712784717029,I
4,5,10,30,30,2,-0.2390699638507432,R,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,-0.0228368661002736,R
4,6,25,35,25,2,0.11188602945958831,I,False,True,R,STRUCTURE_MISLEADING,0.11188602945958831,False,True,R,STRUCTURE_MISLEADING,0.11188602945958831,0.140446714589069,I
4,7,25,45,23,2,0.009989717825888755,I,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,0.0143256660027971,I
4,8,20,40,14,2,0.0006093652282765927,I,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,0.0084992955672452,I
4,9,30,35,28,2,-7.198798685004171e-05,R,False,True,R,STRUCTURE_SUFFICIENT,0.0,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,-0.0019672252748663,R
