dataset_id,source_construct,target_construct,selected_by_method_d
0,5,3,True
0,6,0,True
0,8,1,True
0,12,2,True
0,12,8,True
0,15,9,True
0,15,11,True
0,16,7,True
0,17,5,True
0,17,7,True
0,17,8,True
0,18,10,True
0,18,14,True
0,19,7,True
0,23,3,True
0,23,4,True
0,24,11,True
0,24,15,True
0,25,3,True
0,25,6,True
0,25,21,True
0,26,2,True
0,26,14,True
0,26,15,True
0,26,38,True
0,26,40,True
0,26,42,True
0,26,43,True
0,27,15,True
0,28,7,True
0,28,11,True
0,29,20,True
0,29,36,True
0,30,6,True
0,30,12,True
0,31,14,True
0,32,22,True
0,32,24,True
0,33,7,True
0,33,27,True
0,33,36,True
0,34,15,True
0,35,10,True
0,35,13,True
0,35,17,True
0,36,39,True
0,37,15,True
0,37,34,True
0,37,35,True
0,38,10,True
0,39,30,True
0,39,32,True
0,40,1,True
0,40,21,True
0,41,11,True
0,41,20,True
0,42,8,True
0,42,16,True
0,42,19,True
0,44,7,True
0,44,9,True
0,44,18,True
0,44,21,True
0,45,9,True
0,45,12,True
0,45,25,True
0,46,3,True
0,46,28,True
0,46,41,True
0,47,10,True
0,47,22,True
0,48,29,True
0,49,9,True
0,49,13,True
0,49,48,True
1,0,44,True
1,3,29,True
1,6,41,True
1,7,2,True
1,7,5,True
1,8,6,True
1,9,3,True
1,9,8,True
1,11,10,True
1,14,1,True
1,14,3,True
1,14,6,True
1,15,2,True
1,17,10,True
1,17,11,True
1,17,16,True
1,18,7,True
1,19,3,True
1,19,16,True
1,19,30,True
1,19,32,True
1,20,13,True
1,20,15,True
1,21,4,True
1,21,5,True
1,21,9,True
1,21,17,True
1,23,8,True
1,23,14,True
1,23,17,True
1,25,1,True
1,25,9,True
1,25,16,True
1,25,18,True
1,25,22,True
1,26,1,True
1,26,12,True
1,26,19,True
1,26,21,True
1,27,15,True
1,27,17,True
1,27,36,True
1,28,11,True
1,28,12,True
1,28,26,True
1,29,6,True
1,29,10,True
1,29,17,True
1,30,4,True
1,30,7,True
1,30,9,True
1,30,25,True
1,31,2,True
1,31,6,True
1,32,14,True
1,32,21,True
1,32,43,True
1,33,29,True
1,33,30,True
1,34,0,True
1,34,1,True
1,34,4,True
1,34,10,True
1,34,11,True
1,34,12,True
1,34,19,True
1,35,3,True
1,35,9,True
1,35,15,True
1,35,20,True
1,35,21,True
1,36,20,True
1,36,28,True
1,37,14,True
1,37,18,True
1,37,19,True
1,37,26,True
1,37,30,True
1,38,4,True
1,38,14,True
1,38,15,True
1,38,16,True
1,38,17,True
1,38,18,True
1,38,19,True
1,38,20,True
1,38,28,True
1,39,6,True
1,39,10,True
1,39,19,True
1,39,22,True
1,39,23,True
1,39,24,True
1,39,25,True
1,39,27,True
1,39,41,True
1,39,43,True
1,39,45,True
1,40,11,True
1,40,18,True
1,40,19,True
1,40,29,True
1,41,16,True
1,41,17,True
1,41,20,True
1,42,1,True
1,42,5,True
1,42,11,True
1,42,14,True
1,42,19,True
1,42,23,True
1,43,23,True
1,43,29,True
1,43,31,True
1,44,15,True
1,44,19,True
1,44,20,True
1,44,28,True
1,44,36,True
1,44,38,True
1,44,39,True
1,45,1,True
1,45,2,True
1,45,5,True
1,45,7,True
1,45,31,True
1,46,2,True
1,46,11,True
1,46,23,True
1,46,27,True
1,46,34,True
1,46,37,True
1,47,0,True
1,47,7,True
1,47,8,True
1,47,12,True
1,47,45,True
1,47,46,True
1,48,32,True
1,48,33,True
1,48,34,True
1,49,13,True
1,49,16,True
1,49,18,True
1,49,22,True
1,49,39,True
1,49,40,True
1,49,43,True
1,49,47,True
1,49,48,True
2,1,37,True
2,1,38,True
2,1,39,True
2,1,45,True
2,3,26,True
2,3,39,True
2,4,40,True
2,6,0,True
2,7,0,True
2,7,2,True
2,9,1,True
2,9,2,True
2,9,4,True
2,11,10,True
2,14,12,True
2,15,5,True
2,15,8,True
2,15,10,True
2,17,6,True
2,17,15,True
2,17,16,True
2,18,7,True
2,18,12,True
2,18,16,True
2,18,17,True
2,19,10,True
2,19,33,True
2,19,34,True
2,20,8,True
2,20,13,True
2,20,17,True
2,21,11,True
2,21,12,True
2,21,14,True
2,22,3,True
2,22,5,True
2,22,19,True
2,22,21,True
2,23,2,True
2,23,4,True
2,24,10,True
2,24,15,True
2,24,18,True
2,24,19,True
2,25,16,True
2,25,17,True
2,25,18,True
2,25,21,True
2,25,23,True
2,25,24,True
2,25,38,True
2,25,43,True
2,26,6,True
2,26,21,True
2,26,23,True
2,26,24,True
2,26,25,True
2,27,6,True
2,27,7,True
2,27,14,True
2,27,15,True
2,27,23,True
2,27,24,True
2,27,25,True
2,27,26,True
2,27,40,True
2,27,42,True
2,28,13,True
2,28,18,True
2,29,14,True
2,29,21,True
2,29,23,True
2,30,8,True
2,30,10,True
2,30,11,True
2,30,27,True
2,30,28,True
2,30,29,True
2,30,35,True
2,31,11,True
2,31,15,True
2,31,16,True
2,31,17,True
2,32,11,True
2,32,13,True
2,32,14,True
2,32,15,True
2,32,19,True
2,32,22,True
2,32,24,True
2,32,26,True
2,33,13,True
2,33,31,True
2,34,5,True
2,34,29,True
2,35,5,True
2,35,17,True
2,35,20,True
2,35,33,True
2,36,4,True
2,36,5,True
2,36,18,True
2,36,21,True
2,36,22,True
2,36,25,True
2,36,28,True
2,36,32,True
2,37,0,True
2,37,6,True
2,37,7,True
2,37,15,True
2,37,18,True
2,37,21,True
2,37,22,True
2,37,24,True
2,37,26,True
2,37,32,True
2,37,35,True
2,38,20,True
2,38,31,True
2,38,35,True
2,39,7,True
2,39,20,True
2,39,25,True
2,39,34,True
2,40,7,True
2,40,8,True
2,40,14,True
2,40,20,True
2,40,21,True
2,40,28,True
2,41,27,True
2,41,35,True
2,41,36,True
2,41,37,True
2,41,39,True
2,41,40,True
2,41,43,True
2,41,44,True
2,42,6,True
2,42,8,True
2,42,16,True
2,42,28,True
2,42,32,True
2,43,12,True
2,43,18,True
2,43,21,True
2,43,24,True
2,43,40,True
2,44,7,True
2,44,9,True
2,44,18,True
2,44,24,True
2,44,28,True
2,45,14,True
2,45,16,True
2,45,24,True
2,45,31,True
2,45,32,True
2,45,37,True
2,45,38,True
2,45,42,True
2,46,1,True
2,46,25,True
2,46,29,True
2,46,30,True
2,46,34,True
2,46,35,True
2,46,36,True
2,46,38,True
2,46,44,True
2,46,45,True
2,47,12,True
2,47,13,True
2,47,14,True
2,47,22,True
2,47,23,True
2,47,25,True
2,47,31,True
2,47,36,True
2,47,44,True
2,47,46,True
2,48,13,True
2,48,17,True
2,48,23,True
2,48,30,True
2,48,33,True
2,48,44,True
2,48,45,True
2,49,6,True
2,49,10,True
2,49,11,True
2,49,13,True
2,49,14,True
2,49,15,True
2,49,26,True
2,49,34,True
2,49,36,True
2,49,46,True
2,49,47,True
3,7,4,True
3,7,6,True
3,8,44,True
3,11,1,True
3,11,7,True
3,12,4,True
3,13,1,True
3,15,1,True
3,15,10,True
3,16,1,True
3,16,28,True
3,17,8,True
3,17,16,True
3,18,7,True
3,18,11,True
3,19,7,True
3,19,9,True
3,19,16,True
3,19,21,True
3,20,14,True
3,20,18,True
3,20,26,True
3,21,2,True
3,21,11,True
3,22,0,True
3,22,1,True
3,22,9,True
3,23,5,True
3,23,10,True
3,23,11,True
3,24,3,True
3,24,7,True
3,24,22,True
3,24,34,True
3,25,6,True
3,25,21,True
3,27,3,True
3,27,6,True
3,27,13,True
3,27,15,True
3,27,39,True
3,28,9,True
3,28,11,True
3,28,13,True
3,28,15,True
3,29,0,True
3,29,20,True
3,29,23,True
3,29,25,True
3,30,4,True
3,30,6,True
3,30,11,True
3,30,14,True
3,30,15,True
3,30,16,True
3,30,19,True
3,30,21,True
3,30,27,True
3,31,14,True
3,31,17,True
3,31,20,True
3,31,21,True
3,31,22,True
3,31,30,True
3,32,7,True
3,32,22,True
3,32,23,True
3,32,29,True
3,33,11,True
3,33,13,True
3,33,22,True
3,33,24,True
3,33,27,True
3,33,32,True
3,34,7,True
3,34,11,True
3,34,20,True
3,34,22,True
3,34,23,True
3,35,13,True
3,35,18,True
3,35,32,True
3,36,25,True
3,36,27,True
3,36,44,True
3,37,10,True
3,37,19,True
3,37,20,True
3,37,25,True
3,38,10,True
3,38,13,True
3,38,14,True
3,38,16,True
3,38,18,True
3,38,25,True
3,39,1,True
3,39,10,True
3,39,11,True
3,39,14,True
3,39,23,True
3,40,8,True
3,40,15,True
3,40,27,True
3,40,29,True
3,40,30,True
3,41,2,True
3,41,17,True
3,41,19,True
3,41,22,True
3,42,4,True
3,42,13,True
3,42,15,True
3,42,30,True
3,42,40,True
3,43,17,True
3,43,22,True
3,43,23,True
3,43,24,True
3,43,25,True
3,43,40,True
3,43,42,True
3,44,14,True
3,44,19,True
3,44,22,True
3,44,23,True
3,44,29,True
3,44,30,True
3,44,37,True
3,45,8,True
3,45,13,True
3,45,32,True
3,46,17,True
3,46,33,True
3,46,36,True
3,47,37,True
3,48,9,True
3,48,11,True
3,48,17,True
3,48,37,True
3,48,41,True
3,48,42,True
3,48,44,True
3,48,46,True
3,48,47,True
3,49,21,True
3,49,25,True
3,49,30,True
3,49,38,True
3,49,43,True
3,49,47,True
4,3,0,True
4,6,1,True
4,9,6,True
4,12,7,True
4,13,10,True
4,14,3,True
4,14,6,True
4,16,0,True
4,16,8,True
4,17,10,True
4,17,12,True
4,17,14,True
4,19,4,True
4,19,6,True
4,19,8,True
4,20,12,True
4,20,15,True
4,20,18,True
4,21,4,True
4,21,5,True
4,21,13,True
4,21,14,True
4,21,41,True
4,22,0,True
4,22,4,True
4,22,10,True
4,23,17,True
4,23,20,True
4,24,11,True
4,24,12,True
4,24,16,True
4,25,7,True
4,25,12,True
4,25,14,True
4,25,15,True
4,26,9,True
4,26,12,True
4,26,23,True
4,27,3,True
4,27,17,True
4,27,19,True
4,28,2,True
4,28,26,True
4,28,27,True
4,28,31,True
4,29,5,True
4,29,7,True
4,29,8,True
4,29,11,True
4,29,12,True
4,29,14,True
4,29,19,True
4,29,27,True
4,29,28,True
4,30,0,True
4,30,1,True
4,30,7,True
4,30,12,True
4,30,13,True
4,30,18,True
4,30,19,True
4,30,21,True
4,30,25,True
4,30,29,True
4,31,13,True
4,32,0,True
4,32,13,True
4,32,15,True
4,32,22,True
4,32,23,True
4,32,24,True
4,32,27,True
4,32,28,True
4,32,29,True
4,33,10,True
4,33,13,True
4,33,16,True
4,33,18,True
4,33,27,True
4,34,10,True
4,34,15,True
4,34,16,True
4,34,20,True
4,34,21,True
4,34,25,True
4,34,26,True
4,34,28,True
4,34,29,True
4,34,31,True
4,34,33,True
4,34,37,True
4,35,3,True
4,35,5,True
4,35,17,True
4,35,19,True
4,35,24,True
4,35,25,True
4,35,32,True
4,36,9,True
4,36,21,True
4,36,24,True
4,36,29,True
4,36,32,True
4,36,34,True
4,36,35,True
4,37,11,True
4,37,18,True
4,37,20,True
4,37,23,True
4,37,25,True
4,37,27,True
4,37,42,True
4,38,19,True
4,38,20,True
4,38,22,True
4,38,23,True
4,38,25,True
4,38,28,True
4,38,32,True
4,38,34,True
4,39,9,True
4,39,14,True
4,39,19,True
4,39,26,True
4,39,31,True
4,39,34,True
4,39,38,True
4,39,44,True
4,40,7,True
4,40,9,True
4,40,13,True
4,40,16,True
4,40,29,True
4,40,30,True
4,40,36,True
4,40,37,True
4,40,39,True
4,40,44,True
4,41,12,True
4,41,15,True
4,41,17,True
4,41,24,True
4,41,33,True
4,41,44,True
4,42,12,True
4,42,13,True
4,42,17,True
4,42,20,True
4,42,22,True
4,42,24,True
4,42,25,True
4,42,26,True
4,42,28,True
4,42,32,True
4,43,7,True
4,43,11,True
4,43,16,True
4,43,20,True
4,43,21,True
