set_id,query_id,intervention,reference,target_construct,effect_time,cate_hat
0,0,25,35,25,2,-0.012837045882322595
0,1,10,40,40,2,-0.053024444605997756
0,2,15,40,3,2,0.03148618272295678
0,3,20,40,16,2,-0.0216610733676299
0,4,5,45,45,2,-0.11924651380087103
0,5,5,35,5,2,-0.07190720907062848
0,6,10,35,10,2,0.053500452277297994
0,7,25,45,11,2,0.0052631962284218625
0,8,30,40,13,2,-0.019083736746818847
0,9,25,45,12,2,-0.008214819886033786
1,0,25,45,6,2,0.01188093328806017
1,1,25,35,25,2,-0.05751198031348481
1,2,15,30,30,2,-0.14673578885142025
1,3,20,40,9,2,0.015043561170977604
1,4,20,40,16,2,0.02875087800119125
1,5,15,45,12,2,-0.0064835911781526145
1,6,10,35,10,2,0.03993739761029874
1,7,5,15,15,2,-0.018318316743446084
1,8,5,35,5,2,0.03647486228182273
1,9,25,40,19,2,-0.006934797703851303
2,0,15,25,13,2,0.0010286872643975875
2,1,20,35,20,2,-0.02437491649243806
2,2,30,40,13,2,-0.04033516177726981
2,3,10,35,10,2,0.005770274859382973
2,4,20,35,16,2,0.01773831432456663
2,5,25,40,12,2,-0.07705513508480183
2,6,20,45,45,2,0.0005583934326477968
2,7,10,40,40,2,-0.07146188533943088
2,8,20,40,20,2,0.06076829525313332
2,9,35,45,38,2,0.00018258139557691955
3,0,5,30,30,2,-0.09034295745702603
3,1,30,35,21,2,0.02236080702628601
3,2,25,30,22,2,-0.033282053801015454
3,3,25,30,25,2,0.1121228477311228
3,4,20,40,16,2,0.0071862129188263735
3,5,25,45,23,2,-0.04687917087600629
3,6,30,35,19,2,0.06497234000273105
3,7,25,45,24,2,0.000825721604947538
3,8,5,35,5,2,0.18486966020125456
3,9,10,25,25,2,-0.11238249987614457
4,0,5,30,30,2,-0.08012275376891864
4,1,25,45,19,2,0.008069188182388332
4,2,5,35,5,2,0.1138865656116469
4,3,40,45,33,2,-0.01954941178519287
4,4,20,40,15,2,0.11627127847170299
4,5,10,30,30,2,-0.02283686610027369
4,6,25,35,25,2,0.14044671458906904
4,7,25,45,23,2,0.01432566600279711
4,8,20,40,14,2,0.008499295567245269
4,9,30,35,28,2,-0.0019672252748663688
